iter	Passed	Remaining
406	4745	6914
407	4755	6900
408	4767	6889
409	4779	6877
410	4789	6863
411	4799	6849
412	4810	6836
413	4819	6821
414	4829	6808
415	4839	6793
416	4848	6778
417	4856	6761
418	4865	6747
419	4874	6731
420	4882	6715
421	4891	6699
422	4899	6683
423	4907	6666
424	4915	6651
425	4943	6661
426	4952	6646
427	4961	6630
428	4970	6616
429	4982	6604
430	4992	6591
431	5002	6577
432	5013	6565
433	5025	6553
434	5036	6542
435	5047	6529
436	5057	6515
437	5067	6501
438	5077	6488
439	5090	6479
440	5101	6466
441	5113	6455
442	5124	6443
443	5137	6433
444	5150	6423
445	5161	6411
446	5172	6399
447	5183	6387
448	5194	6375
449	5205	6361
450	5216	6349
451	5227	6337
452	5236	6323
453	5248	6311
454	5259	6299
455	5268	6284
456	5278	6271
457	5288	6258
458	5298	6244
459	5306	6229
460	5315	6215
461	5325	6201
462	5334	6187
463	5352	6183
464	5372	6181
465	5383	6168
466	5393	6156
467	5403	6142
468	5412	6127
469	5422	6114
470	5431	6100
471	5440	6086
472	5450	6072
473	5458	6057
474	5468	6043
475	5481	6034
476	5492	6022
477	5504	6011
478	5515	5999
479	5528	5989
480	5540	5977
481	5550	5964
482	5562	5954
483	5574	5942
484	5583	5928
485	5595	5917
486	5606	5905
487	5615	5891
488	5626	5879
489	5636	5866
490	5646	5853
491	5659	5843
492	5669	5830
493	5679	5817
494	5688	5803
495	5698	5790
496	5706	5775
497	5715	5761
498	5724	5747
499	5732	5732
500	5742	5719
501	5750	5705
502	5759	5691
503	5768	5676
504	5777	5662
505	5786	5648
506	5795	5635
507	5804	5621
508	5813	5607
509	5823	5594
510	5832	5581
511	5841	5567
512	5850	5553
513	5859	5540
514	5868	5527
515	5878	5513
516	5887	5500
517	5897	5487
518	5905	5473
519	5915	5460
520	5952	5472
521	5967	5464
522	5978	5452
523	5990	5441
524	6001	5430
525	6011	5417
526	6024	5407
527	6035	5395
528	6046	5383
529	6058	5372
530	6070	5361
531	6080	5349
532	6090	5336
533	6099	5322
534	6109	5310
535	6121	5299
536	6132	5287
537	6141	5273
538	6151	5261
539	6159	5247
540	6168	5233
541	6180	5222
542	6188	5208
543	6199	5196
544	6208	5182
545	6217	5169
546	6226	5156
547	6235	5142
548	6243	5129
549	6252	5115
550	6261	5102
551	6270	5088
552	6278	5075
553	6287	5061
554	6297	5049
555	6306	5036
556	6316	5023
557	6325	5010
558	6335	4998
559	6344	4985
560	6361	4977
561	6387	4978
562	6405	4971
563	6418	4961
564	6429	4950
565	6439	4937
566	6451	4926
567	6462	4914
568	6471	4901
569	6483	4890
570	6494	4879
571	6504	4866
572	6514	4854
573	6524	4842
574	6534	4829
575	6543	4816
576	6552	4803
577	6560	4789
578	6569	4776
579	6578	4763
580	6586	4750
581	6595	4736
582	6604	4723
583	6613	4710
584	6621	4697
585	6630	4684
586	6638	4670
587	6647	4657
588	6655	4644
589	6664	4631
590	6672	4617
591	6681	4605
592	6690	4592
593	6702	4581
594	6711	4568
595	6720	4555
596	6728	4542
597	6737	4529
598	6746	4516
599	6759	4506
600	6779	4500
601	6799	4495
602	6818	4488
603	6836	4482
604	6855	4475
605	6871	4467
606	6887	4458
607	6902	4450
608	6920	4443
609	6950	4443
610	6976	4441
611	7008	4443
612	7029	4437
613	7040	4425
614	7049	4413
615	7061	4401
616	7069	4388
617	7079	4376
618	7090	4364
619	7099	4351
620	7110	4339
621	7120	4327
622	7129	4314
623	7140	4302
624	7148	4289
625	7160	4277
626	7170	4265
627	7178	4252
628	7190	4240
629	7198	4227
630	7209	4216
631	7217	4202
632	7230	4192
633	7240	4179
634	7248	4166
635	7258	4154
636	7267	4141
637	7285	4133
638	7309	4129
639	7329	4122
640	7342	4112
641	7351	4099
642	7361	4087
643	7385	4082
644	7407	4077
645	7423	4068
646	7436	4057
647	7445	4044
648	7457	4033
649	7469	4022
650	7479	4009
651	7489	3997
652	7498	3984
653	7509	3972
654	7518	3960
655	7528	3947
656	7537	3934
657	7546	3922
658	7557	3910
659	7566	3897
660	7575	3884
661	7584	3872
662	7593	3859
663	7602	3847
664	7611	3834
665	7620	3821
666	7629	3808
667	7638	3796
668	7655	3787
669	7671	3778
670	7681	3766
671	7689	3753
672	7698	3740
673	7706	3727
674	7715	3714
675	7723	3702
676	7732	3689
677	7741	3676
678	7753	3665
679	7762	3652
680	7778	3643
681	7795	3634
682	7806	3623
683	7816	3611
